2022/11/13,23:29:32, Distance 1 = 0.00, Distance 2 = 286.00
=========2022/11/13,23:29:37, Distance 1 = 0.00, Distance 2 = 286.00
=========2022/11/13,23:32:37, Distance 1 = 0.00, Distance 2 = 285.00
2022/11/13,23:32:37, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:32:42, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:32:47, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:32:52, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:32:57, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:33:1, Distance 1 = 0.00, Distance 2 = 3.00
2022/11/13,23:33:6, Distance 1 = 0.00, Distance 2 = 8.00
2022/11/13,23:33:11, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:33:16, Distance 1 = 0.00, Distance 2 = 7.00
2022/11/13,23:33:21, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:33:26, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:33:30, Distance 1 = 0.00, Distance 2 = 4.00
2022/11/13,23:33:35, Distance 1 = 0.00, Distance 2 = 285.00
2022/11/13,23:33:41, Distance 1 = 0.00, Distance 2 = 285.00
2022/11/13,23:33:46, Distance 1 = 0.00, Distance 2 = 4.00
2022/11/13,23:33:51, Distance 1 = 0.00, Distance 2 = 5.00
2022/11/13,23:33:56, Distance 1 = 0.00, Distance 2 = 6.00
2022/11/13,23:34:1, Distance 1 = 0.00, Distance 2 = 4.00
2022/11/13,23:34:6, Distance 1 = 0.00, Distance 2 = 4.00
2022/11/13,23:34:11, Distance 1 = 0.00, Distance 2 = 4.00
2022/11/13,23:34:16, Distance 1 = 0.00, Distance 2 = 2.00
2022/11/13,23:34:21, Distance 1 = 0.00, Distance 2 = 7.00
2022/11/13,23:34:26, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:34:31, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:34:36, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:34:42, Distance 1 = 0.00, Distance 2 = 285.00
2022/11/13,23:34:47, Distance 1 = 0.00, Distance 2 = 286.00
2022/11/13,23:34:52, 2022/11/13,23:41:35, Distance 1 = 287.00, Distance 2 = 285.00
2022/11/13,23:41:40, Distance 1 = 4.00, Distance 2 = 3.00
2022/11/13,23:41:46, Distance 1 = 3.00, Distance 2 = 4.00
2022/11/13,23:41:51, Distance 1 = 9.00, Distance 2 = 7.00
2022/11/13,23:41:57, 2022/11/13,23:41:35, Distance 1 = 0.00, Distance 2 = 113.00
2022/11/13,23:41:40, 2022/11/13,23:41:35, Distance 1 = 0.00, Distance 2 = 114.00
2022/11/13,23:41:40, Distance 1 = 0.00, Distance 2 = 115.00
2022/11/13,23:41:45, Distance 1 = 0.00, Distance 2 = 116.00
2022/11/13,23:41:50, Distance 1 = 0.00, Distance 2 = 115.00
2022/11/13,23:41:55, Distance 1 = 0.00, Distance 2 = 117.00
2022/11/13,23:42:0, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:42:5, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:42:10, Distance 1 = 0.00, Distance 2 = 46.00
2022/11/13,23:41:35, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:41:40, Distance 1 = 0.00, Distance 2 = 47.00
2022/11/13,23:41:45, Distance 1 = 0.00, Distance 2 = 47.00
2022/11/13,23:41:50, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:41:55, Distance 1 = 0.00, Distance 2 = 116.00
2022/11/13,23:42:0, Distance 1 = 0.00, Distance 2 = 46.00
2022/11/13,23:42:5, Distance 1 = 0.00, Distance 2 = 46.00
2022/11/13,23:42:10, Distance 1 = 0.00, Distance 2 = 46.00
2022/11/13,23:42:15, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:42:21, Distance 1 = 0.00, Distance 2 = 45.00
2022/11/13,23:42:26, Distance 1 = 0.00, Distance 2 = 47.00
2022/11/13,23:42:31, Distance 1 = 0.00, Distance 2 = 48.00
2022/11/13,23:42:36, Distance 1 = 0.00, Distance 2 = 48.00
2022/11/13,23:42:41, Distance 1 = 0.00, Distance 2 = 115.00
2022/11/13,23:42:46, Distance 1 = 0.00, Distance 2 = 115.00
2022/11/13,23:42:51, Distance 1 = 0.00, Distance 2 = 9.00
2022/11/13,23:42:56, Distance 1 = 0.00, Distance 2 = 7.00
2022/11/13,23:43:2, Distance 1 = 0.00, Distance 2 = 42.00
2022/11/13,23:43:7, Distance 1 = 0.00, Distance 2 = 23.00
2022/11/13,23:43:12, Distance 1 = 0.00, Distance 2 = 0.00
2022/11/13,23:43:16, Distance 1 = 0.00, Distance 2 = 222.00
2022/11/13,23:43:22, Distance 1 = 0.00, Distance 2 = 3.00
2022/11/13,23:43:27, Distance 1 = 0.00, Distance 2 = 356.00
2022/11/13,23:43:32, Distance 1 = 0.00, Distance 2 = 7.00
2022/11/13,23:43:37, Distance 1 = 0.00, Distance 2 = 112.00
2022/11/13,23:43:42, Distance 1 = 0.00, Distance 2 = 113.00
